setting	run	activation	period	actor.id	actor.sex	actor.behavior	actor.score	actor.oestrus	actor.x	actor.y	receiver.id	receiver.sex	receiver.behavior	receiver.score	receiver.oestrus	receiver.x	receiver.y
something	3	15921	200	1	F	Stroll	25.175	N	7.10932	-23.1376	NA	NA	NA	NA	NA	NA	NA
something	3	15922	200	2	F	Search	19.3107	N	21.2898	-23.718	NA	NA	NA	NA	NA	NA	NA
something	3	15923	200	3	M	Search	11.2168	NA	16.9124	-30.965	NA	NA	NA	NA	NA	NA	NA
something	3	15924	200	4	M	Stroll	40.2975	NA	15.0696	-23.3862	NA	NA	NA	NA	NA	NA	NA
something	3	15925	200	2	F	Fight	19.8515	N	20.2912	-23.6647	4	M	Flee	39.7567	NA	13.1256	-23.8562
something	3	15926	200	3	M	Stroll	11.2168	NA	17.8321	-30.5722	NA	NA	NA	NA	NA	NA	NA
something	3	15927	200	1	F	Withdraw	25.175	N	5.13255	-22.8337	4	M	None	39.7567	NA	13.1256	-23.8562
something	3	15928	200	2	F	Groom	19.8515	N	20.2912	-23.6647	4	M	Groomed	39.7567	NA	13.1256	-23.8562
something	3	15929	200	3	M	Flee	10.8558	NA	16.3521	-31.9174	2	F	Fight	20.2126	N	19.9558	-24.6068
something	3	15930	200	1	F	Search	25.175	N	5.2845	-21.8453	NA	NA	NA	NA	NA	NA	NA
something	3	15931	200	4	M	Withdraw	39.7567	NA	11.141	-23.6089	2	F	None	20.2126	N	19.9558	-24.6068
something	3	15932	200	3	M	Search	10.8558	NA	17.0247	-32.6574	NA	NA	NA	NA	NA	NA	NA
something	3	15933	200	1	F	Search	25.175	N	4.29611	-21.6934	NA	NA	NA	NA	NA	NA	NA
something	3	15934	200	2	F	Stroll	20.2126	N	19.0718	-24.1393	NA	NA	NA	NA	NA	NA	NA
something	3	15935	200	3	M	Search	10.8558	NA	17.7647	-31.9848	NA	NA	NA	NA	NA	NA	NA
something	3	15936	200	1	F	Search	25.175	N	4.44806	-20.705	NA	NA	NA	NA	NA	NA	NA
something	3	15937	200	4	M	Withdraw	39.7567	NA	12.0093	-25.4106	1	F	None	25.175	N	4.44806	-20.705
something	3	15938	200	2	F	Flee	19.9429	N	21.0198	-23.686	4	M	Fight	40.0263	NA	12.9934	-25.2334
something	3	15939	200	3	M	Stroll	10.8558	NA	18.7293	-31.7213	NA	NA	NA	NA	NA	NA	NA
something	3	15940	200	1	F	Stroll	25.175	N	5.42854	-20.5084	NA	NA	NA	NA	NA	NA	NA
something	3	15941	200	2	F	Search	19.9429	N	20.7932	-22.7121	NA	NA	NA	NA	NA	NA	NA
something	3	15942	200	3	M	Search	10.8558	NA	18.9928	-32.6859	NA	NA	NA	NA	NA	NA	NA
