setting	run	activation	period	actor.id	actor.sex	actor.behavior	actor.score	actor.oestrus	actor.x	actor.y	receiver.id	receiver.sex	receiver.behavior	receiver.score	receiver.oestrus	receiver.x	receiver.y
something	2	15921	200	4	M	Stroll	17.6102	NA	-0.688507	10.021	NA	NA	NA	NA	NA	NA	NA
something	2	15922	200	3	M	Search	44.7217	NA	-6.60941	2.62938	NA	NA	NA	NA	NA	NA	NA
something	2	15923	200	2	F	Search	28.6226	N	-9.66433	9.80497	NA	NA	NA	NA	NA	NA	NA
something	2	15924	200	1	F	Search	4.92605	N	6.69319	5.73883	NA	NA	NA	NA	NA	NA	NA
something	2	15925	200	4	M	Stroll	17.6102	NA	-0.024307	9.2734	NA	NA	NA	NA	NA	NA	NA
something	2	15926	200	3	M	Search	44.7217	NA	-7.19102	3.44284	NA	NA	NA	NA	NA	NA	NA
something	2	15927	200	2	F	Withdraw	28.6226	N	-8.86572	11.6386	3	M	None	44.7217	NA	-7.19102	3.44284
something	2	15928	200	1	F	Search	4.92605	N	6.89101	4.75859	NA	NA	NA	NA	NA	NA	NA
something	2	15929	200	4	M	Stroll	17.6102	NA	0.261319	8.31506	NA	NA	NA	NA	NA	NA	NA
something	2	15930	200	3	M	Stroll	44.7217	NA	-7.99203	4.0415	NA	NA	NA	NA	NA	NA	NA
something	2	15931	200	1	F	Search	4.92605	N	5.91077	4.56077	NA	NA	NA	NA	NA	NA	NA
something	2	15932	200	4	M	Flee	16.8288	NA	-1.73632	8.21789	1	F	Fight	5.70747	N	5.07791	5.11424
something	2	15933	200	2	F	Search	28.6226	N	-9.78253	12.0379	NA	NA	NA	NA	NA	NA	NA
something	2	15934	200	3	M	Stroll	44.7217	NA	-8.33979	4.97908	NA	NA	NA	NA	NA	NA	NA
something	2	15935	200	1	F	Withdraw	5.70747	N	7.0222	4.64549	4	M	None	16.8288	NA	-1.73632	8.21789
something	2	15936	200	2	F	Search	28.6226	N	-10.1818	11.1211	NA	NA	NA	NA	NA	NA	NA
something	2	15937	200	3	M	Fight	45.112	NA	-8.62706	5.93693	2	F	Flee	28.2324	N	-9.55598	13.0206
something	2	15938	200	4	M	Stroll	16.8288	NA	-0.79967	8.56816	NA	NA	NA	NA	NA	NA	NA
something	2	15939	200	2	F	Search	28.2324	N	-8.6062	12.7077	NA	NA	NA	NA	NA	NA	NA
something	2	15940	200	3	M	Fight	45.4969	NA	-8.62398	6.93692	2	F	Flee	27.8474	N	-7.31849	14.238
something	2	15941	200	1	F	Search	5.70747	N	6.78782	3.67335	NA	NA	NA	NA	NA	NA	NA
something	2	15942	200	4	M	Stroll	16.8288	NA	0.165905	8.82828	NA	NA	NA	NA	NA	NA	NA
something	2	15943	200	2	F	Search	27.8474	N	-6.55334	13.5942	NA	NA	NA	NA	NA	NA	NA
something	2	15944	200	3	M	Search	45.4969	NA	-9.33326	6.232	NA	NA	NA	NA	NA	NA	NA
something	2	15945	200	1	F	Search	5.70747	N	7.75997	3.43897	NA	NA	NA	NA	NA	NA	NA
something	2	15946	200	4	M	Stroll	16.8288	NA	1.16103	8.72963	NA	NA	NA	NA	NA	NA	NA
something	2	15947	200	2	F	Stroll	27.8474	N	-6.4362	12.601	NA	NA	NA	NA	NA	NA	NA
something	2	15948	200	3	M	Search	45.4969	NA	-8.62834	5.52272	NA	NA	NA	NA	NA	NA	NA
something	2	15949	200	1	F	Search	5.70747	N	7.99435	4.41112	NA	NA	NA	NA	NA	NA	NA
something	2	15950	200	4	M	Stroll	16.8288	NA	1.99955	9.2745	NA	NA	NA	NA	NA	NA	NA
something	2	15951	200	2	F	Fight	28.3437	N	-6.73204	11.6458	3	M	Flee	45.0006	NA	-7.76921	3.71665
something	2	15952	200	1	F	Search	5.70747	N	7.0222	4.64549	NA	NA	NA	NA	NA	NA	NA
something	2	15953	200	4	M	Search	16.8288	NA	2.54442	8.43598	NA	NA	NA	NA	NA	NA	NA
something	2	15954	200	3	M	Search	45.0006	NA	-6.86617	4.14621	NA	NA	NA	NA	NA	NA	NA
something	2	15955	200	2	F	Search	28.3437	N	-6.26577	10.7612	NA	NA	NA	NA	NA	NA	NA
something	2	15956	200	1	F	Groom	5.70747	N	7.0222	4.64549	4	M	Groomed	16.8288	NA	2.54442	8.43598
something	2	15957	200	3	M	Withdraw	45.0006	NA	-7.76899	2.36157	2	F	None	28.3437	N	-6.26577	10.7612
something	2	15958	200	4	M	Withdraw	16.8288	NA	0.557576	8.66503	1	F	None	5.70747	N	7.0222	4.64549
something	2	15959	200	2	F	Stroll	28.3437	N	-6.74429	9.88308	NA	NA	NA	NA	NA	NA	NA
something	2	15960	200	1	F	Withdraw	5.70747	N	8.99847	4.95267	4	M	None	16.8288	NA	0.557576	8.66503
something	2	15961	200	3	M	Search	45.0006	NA	-8.66131	2.81298	NA	NA	NA	NA	NA	NA	NA
something	2	15962	200	2	F	Withdraw	28.3437	N	-5.93302	11.7111	3	M	None	45.0006	NA	-8.66131	2.81298
something	2	15963	200	4	M	Stroll	16.8288	NA	1.52318	8.40499	NA	NA	NA	NA	NA	NA	NA
something	2	15964	200	3	M	Stroll	45.0006	NA	-8.35662	3.76544	NA	NA	NA	NA	NA	NA	NA
something	2	15965	200	1	F	Search	5.70747	N	8.84488	5.9408	NA	NA	NA	NA	NA	NA	NA
something	2	15966	200	4	M	Flee	16.0821	NA	0.0394694	9.74612	1	F	Fight	6.45421	N	7.89712	6.25978
something	2	15967	200	2	F	Search	28.3437	N	-5.01898	11.3055	NA	NA	NA	NA	NA	NA	NA
something	2	15968	200	3	M	Stroll	45.0006	NA	-8.4786	4.75797	NA	NA	NA	NA	NA	NA	NA
something	2	15969	200	1	F	Stroll	6.45421	N	7.34012	5.42927	NA	NA	NA	NA	NA	NA	NA
something	2	15970	200	2	F	Flee	27.8333	N	-6.88354	10.582	4	M	Fight	16.5925	NA	-0.916153	10.0407
something	2	15971	200	3	M	Fight	45.3828	NA	-8.21446	5.72245	2	F	Flee	27.4512	N	-6.2823	12.4895
something	2	15972	200	1	F	Stroll	6.45421	N	6.89604	4.53328	NA	NA	NA	NA	NA	NA	NA
something	2	15973	200	4	M	Fight	17.2157	NA	-1.8259	10.4559	2	F	Flee	26.8279	N	-8.2466	12.1133
something	2	15974	200	3	M	Fight	45.7543	NA	-8.21949	6.72244	2	F	Flee	26.4564	N	-7.34014	13.8961
something	2	15975	200	1	F	Search	6.45421	N	7.79203	4.0892	NA	NA	NA	NA	NA	NA	NA
something	2	15976	200	4	M	Withdraw	17.2157	NA	-0.180559	9.31884	2	F	None	26.4564	N	-7.34014	13.8961
something	2	15977	200	3	M	Flee	45.1207	NA	-7.48454	4.86237	2	F	Fight	27.09	N	-7.46181	12.9035
something	2	15978	200	1	F	Search	6.45421	N	8.23611	4.98519	NA	NA	NA	NA	NA	NA	NA
something	2	15979	200	4	M	Stroll	17.2157	NA	0.653284	8.76683	NA	NA	NA	NA	NA	NA	NA
something	2	15980	200	2	F	Stroll	27.09	N	-6.75057	12.2006	NA	NA	NA	NA	NA	NA	NA
something	2	15981	200	1	F	Search	6.45421	N	7.34012	5.42927	NA	NA	NA	NA	NA	NA	NA
something	2	15982	200	4	M	Flee	16.4884	NA	-1.31061	9.14513	1	F	Fight	7.18153	N	6.44538	5.87585
something	2	15983	200	3	M	Search	45.1207	NA	-6.55451	5.22984	NA	NA	NA	NA	NA	NA	NA
something	2	15984	200	2	F	Fight	27.3927	N	-5.87868	11.7109	4	M	Flee	16.1857	NA	0.34688	8.02588
something	2	15985	200	1	F	Withdraw	7.18153	N	7.70415	4.32167	4	M	None	16.1857	NA	0.34688	8.02588
something	2	15986	200	3	M	Flee	44.3847	NA	-8.32683	4.3031	4	M	Fight	16.9217	NA	-0.579945	7.65039
something	2	15987	200	2	F	Flee	26.8982	N	-7.58741	12.7502	4	M	Fight	17.4162	NA	-1.37369	8.25864
something	2	15988	200	1	F	Search	7.18153	N	8.48125	4.95105	NA	NA	NA	NA	NA	NA	NA
something	2	15989	200	3	M	Search	44.3847	NA	-8.7902	5.18926	NA	NA	NA	NA	NA	NA	NA
something	2	15990	200	4	M	Flee	17.0232	NA	0.585192	7.85517	2	F	Fight	27.2912	N	-6.77697	12.1644
something	2	15991	200	1	F	Search	7.18153	N	9.11063	4.17396	NA	NA	NA	NA	NA	NA	NA
something	2	15992	200	3	M	Fight	44.7655	NA	-8.51289	6.15004	2	F	Flee	26.9104	N	-5.51097	13.7127
something	2	15993	200	4	M	Stroll	17.0232	NA	1.54958	8.11965	NA	NA	NA	NA	NA	NA	NA
something	2	15994	200	2	F	Search	26.9104	N	-4.73682	13.0797	NA	NA	NA	NA	NA	NA	NA
something	2	15995	200	3	M	Flee	44.1409	NA	-8.30887	4.16048	2	F	Fight	27.535	N	-5.21531	12.2016
something	2	15996	200	1	F	Search	7.18153	N	9.88773	4.80334	NA	NA	NA	NA	NA	NA	NA
something	2	15997	200	4	M	Stroll	17.0232	NA	2.47311	8.50318	NA	NA	NA	NA	NA	NA	NA
something	2	15998	200	2	F	Stroll	27.535	N	-4.62597	11.3937	NA	NA	NA	NA	NA	NA	NA
something	2	15999	200	3	M	Search	44.1409	NA	-7.31409	4.26249	NA	NA	NA	NA	NA	NA	NA
something	2	16000	200	1	F	Search	7.18153	N	10.5171	4.02625	NA	NA	NA	NA	NA	NA	NA
something	2	16001	201	4	M	Stroll	17.0232	NA	3.47273	8.53062	NA	NA	NA	NA	NA	NA	NA
something	2	16002	201	2	F	Withdraw	27.535	N	-3.20966	12.8058	3	M	None	44.1409	NA	-7.31409	4.26249
something	2	16003	201	1	F	Search	7.18153	N	11.2942	4.65563	NA	NA	NA	NA	NA	NA	NA
something	2	16004	201	4	M	Stroll	17.0232	NA	4.43329	8.80871	NA	NA	NA	NA	NA	NA	NA
something	2	16005	201	3	M	Stroll	44.1409	NA	-6.40534	4.67983	NA	NA	NA	NA	NA	NA	NA
something	2	16006	201	1	F	Search	7.18153	N	11.9236	3.87854	NA	NA	NA	NA	NA	NA	NA
something	2	16007	201	4	M	Stroll	17.0232	NA	5.00462	9.62943	NA	NA	NA	NA	NA	NA	NA
something	2	16008	201	2	F	Search	27.535	N	-3.91572	13.514	NA	NA	NA	NA	NA	NA	NA
something	2	16009	201	3	M	Stroll	44.1409	NA	-5.484	5.0686	NA	NA	NA	NA	NA	NA	NA
something	2	16010	201	1	F	Search	7.18153	N	12.7007	4.50793	NA	NA	NA	NA	NA	NA	NA
something	2	16011	201	4	M	Search	17.0232	NA	4.18391	10.2008	NA	NA	NA	NA	NA	NA	NA
something	2	16012	201	2	F	Search	27.535	N	-3.20757	14.2201	NA	NA	NA	NA	NA	NA	NA
something	2	16013	201	3	M	Stroll	44.1409	NA	-4.5425	4.7316	NA	NA	NA	NA	NA	NA	NA
something	2	16014	201	1	F	Search	7.18153	N	13.3301	3.73083	NA	NA	NA	NA	NA	NA	NA
something	2	16015	201	4	M	Stroll	17.0232	NA	3.40835	10.832	NA	NA	NA	NA	NA	NA	NA
something	2	16016	201	3	M	Stroll	44.1409	NA	-3.66485	4.25229	NA	NA	NA	NA	NA	NA	NA
something	2	16017	201	1	F	Search	7.18153	N	14.1072	4.36022	NA	NA	NA	NA	NA	NA	NA
something	2	16018	201	2	F	Search	27.535	N	-2.50151	13.5119	NA	NA	NA	NA	NA	NA	NA
something	2	16019	201	4	M	Withdraw	17.0232	NA	5.28269	10.1343	2	F	None	27.535	N	-2.50151	13.5119
something	2	16020	201	3	M	Stroll	44.1409	NA	-2.71623	3.93587	NA	NA	NA	NA	NA	NA	NA
something	2	16021	201	2	F	Stroll	27.535	N	-1.5161	13.3417	NA	NA	NA	NA	NA	NA	NA
something	2	16022	201	1	F	Search	7.18153	N	14.7365	3.58312	NA	NA	NA	NA	NA	NA	NA
something	2	16023	201	3	M	Stroll	44.1409	NA	-1.85188	3.43298	NA	NA	NA	NA	NA	NA	NA
something	2	16024	201	2	F	Withdraw	27.535	N	-2.58164	15.0342	4	M	None	17.0232	NA	5.28269	10.1343
something	2	16025	201	1	F	Search	7.18153	N	13.9595	2.95374	NA	NA	NA	NA	NA	NA	NA
something	2	16026	201	3	M	Stroll	44.1409	NA	-1.59602	2.46627	NA	NA	NA	NA	NA	NA	NA
something	2	16027	201	4	M	Stroll	17.0232	NA	4.50614	10.7643	NA	NA	NA	NA	NA	NA	NA
something	2	16028	201	1	F	Stroll	7.18153	N	13.3566	2.15588	NA	NA	NA	NA	NA	NA	NA
something	2	16029	201	2	F	Search	27.535	N	-1.73538	15.567	NA	NA	NA	NA	NA	NA	NA
something	2	16030	201	4	M	Groom	17.0232	NA	4.50614	10.7643	2	F	Groomed	27.535	N	-1.73538	15.567
something	2	16031	201	3	M	Search	44.1409	NA	-0.629306	2.72213	NA	NA	NA	NA	NA	NA	NA
something	2	16032	201	1	F	Stroll	7.18153	N	12.8895	1.27171	NA	NA	NA	NA	NA	NA	NA
something	2	16033	201	2	F	Groom	27.535	N	-1.73538	15.567	4	M	Groomed	17.0232	NA	4.50614	10.7643
something	2	16034	201	3	M	Stroll	44.1409	NA	0.107398	3.39835	NA	NA	NA	NA	NA	NA	NA
something	2	16035	201	1	F	Search	7.18153	N	12.0053	1.73886	NA	NA	NA	NA	NA	NA	NA
something	2	16036	201	2	F	Flee	27.0406	N	-2.0689	17.539	4	M	Fight	17.5176	NA	3.71361	11.3742
something	2	16037	201	3	M	Stroll	44.1409	NA	0.647109	4.2402	NA	NA	NA	NA	NA	NA	NA
something	2	16038	201	1	F	Stroll	7.18153	N	11.5451	2.62668	NA	NA	NA	NA	NA	NA	NA
something	2	16039	201	2	F	Search	27.0406	N	-1.08291	17.7057	NA	NA	NA	NA	NA	NA	NA
something	2	16040	201	4	M	Groom	17.5176	NA	3.71361	11.3742	3	M	Groomed	44.1409	NA	0.647109	4.2402
something	2	16041	201	1	F	Stroll	7.18153	N	10.755	3.23971	NA	NA	NA	NA	NA	NA	NA
something	2	16042	201	2	F	Search	27.0406	N	-1.24967	18.6917	NA	NA	NA	NA	NA	NA	NA
something	2	16043	201	4	M	Flee	17.2335	NA	5.37751	12.4839	3	M	Fight	44.425	NA	1.04202	5.15892
something	2	16044	201	1	F	Stroll	7.18153	N	9.93647	3.81413	NA	NA	NA	NA	NA	NA	NA
something	2	16045	201	2	F	Search	27.0406	N	-2.23566	18.525	NA	NA	NA	NA	NA	NA	NA
something	2	16046	201	4	M	Search	17.2335	NA	4.82267	13.3158	NA	NA	NA	NA	NA	NA	NA
something	2	16047	201	3	M	Stroll	44.425	NA	0.934273	6.1531	NA	NA	NA	NA	NA	NA	NA
something	2	16048	201	1	F	Stroll	7.18153	N	9.14865	4.43003	NA	NA	NA	NA	NA	NA	NA
something	2	16049	201	2	F	Search	27.0406	N	-2.40243	19.511	NA	NA	NA	NA	NA	NA	NA
something	2	16050	201	4	M	Stroll	17.2335	NA	4.21046	14.1065	NA	NA	NA	NA	NA	NA	NA
something	2	16051	201	3	M	Stroll	44.425	NA	0.435252	7.01969	NA	NA	NA	NA	NA	NA	NA
something	2	16052	201	1	F	Stroll	7.18153	N	9.01531	5.4211	NA	NA	NA	NA	NA	NA	NA
something	2	16053	201	2	F	Search	27.0406	N	-3.38842	19.3442	NA	NA	NA	NA	NA	NA	NA
something	2	16054	201	4	M	Stroll	17.2335	NA	4.00403	15.085	NA	NA	NA	NA	NA	NA	NA
something	2	16055	201	3	M	Stroll	44.425	NA	-0.194663	7.79635	NA	NA	NA	NA	NA	NA	NA
something	2	16056	201	1	F	Stroll	7.18153	N	9.57151	6.25215	NA	NA	NA	NA	NA	NA	NA
something	2	16057	201	2	F	Search	27.0406	N	-3.22166	18.3582	NA	NA	NA	NA	NA	NA	NA
something	2	16058	201	3	M	Stroll	44.425	NA	-0.526652	8.73963	NA	NA	NA	NA	NA	NA	NA
